web-scraper-order,web-scraper-start-url,name_raw,price_raw,country_raw,quantity_raw,value_raw
"1734709749-145","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=16","Vino Nobile di Montepulciano DOCG Tenuta Trerose","16.95","Italien, 2020","75cl","2.26/10cl"
"1734709754-146","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Naturaplan Bio-Prosecco DOC Raphael Dal Bo, extra dry","11.95","Italien","75cl","1.59/10cl"
"1734709754-147","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Rimuss Party Traubensaft weiss, alkoholfrei","4.20","Rimuss","70cl","0.60/10cl"
"1734709754-148","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Zürich AOC Staatsschreiber Cuvée Blanc Prestige","12.70","Schweiz, 2023","75cl","1.69/10cl"
"1734709754-149","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Prosecco Superiore di Valdobbiadene Conegliano DOCG Carpené Malvolti, extra dry","10.95","Italien","75cl","1.46/10cl"
"1734709754-150","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Aigle Les Murailles Chablais AOC H. Badoux","22.50","Schweiz, 2023","70cl","3.21/10cl"
"1734709754-151","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Champagne AOC Charles Bertin, brut","19.50","Frankreich","75cl","2.60/10cl"
"1734709754-152","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Prosecco DOC Vigne dei Dogi, extra dry","6.95","Italien","75cl","0.93/10cl"
"1734709754-153","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Zürich AOC Federweisser Stauffacher","9.95","Schweiz, 2023","75cl","1.33/10cl"
"1734709754-154","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Blu Secco Dose Vino Frizzante 6x20cl","8.70","Italien","120cl","0.73/10cl"
"1734709754-155","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Toscana IGT Rosso Villa Antinori","12.95","Italien, 2022","75cl","1.73/10cl"
"1734709754-156","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Terre Siciliane IGT Nero d'Avola Bromeus","13.95","Italien, 2022","75cl","1.86/10cl"
"1734709754-157","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","La Côte AOC Grand Cru Perroy Cuvée 48 Cave de Jolimont 6x  70cl","41.70","Schweiz, 2023","6x 70cl","0.99/10cl"
"1734709754-158","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Lavaux AOC St-Saphorin La Donjannaz Les Terrasses de Lavaux","14.95","Schweiz, 2023","70cl","2.14/10cl"
"1734709754-159","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Alsace AOP Gewürztraminer Baron de Hoen Beblenheim","7.35","Frankreich, 2022","75cl","0.98/10cl"
"1734709754-160","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Valais AOC Dôle Blanche Les Bernadettes","9.30","Schweiz, 2023","75cl","1.24/10cl"
"1734709754-161","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Douro DOC Fabelhaft Niepoort","11.25","Portugal, 2021","75cl","1.50/10cl"
"1734709754-162","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Glühwein Heisser Hirsch Rot","4.50","Deutschland","75cl","0.60/10cl"
"1734709754-163","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Toscana IGT Bianco Villa Antinori","12.50","Italien, 2023","75cl","1.67/10cl"
"1734709754-164","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Naturaplan Bio-Crémant d'Alsace AOC Wolfberger, brut","10.95","Frankreich","75cl","1.46/10cl"
"1734709754-165","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Médoc AOC Château Laffitte Laujac","8.95","Frankreich, 2021","75cl","1.19/10cl"
"1734709754-166","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Valdo Prosecco di Valdobbiadene DOCG","9.95","Italien","75cl","1.33/10cl"
"1734709754-167","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Rimuss Champion Moscato, alkoholfrei","4.95","Rimuss","75cl","0.66/10cl"
"1734709754-168","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Freixenet Carta Medium Dry semi seco","6.95","Spanien","75cl","0.93/10cl"
"1734709754-169","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Champagne AOC Impérial Moët & Chandon, brut","38.50","Frankreich","75cl","5.13/10cl"
"1734709754-170","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Bourgogne AOC Chardonnay Louis Jadot","18.95","Frankreich, 2022","75cl","2.53/10cl"
"1734709754-171","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Valais AOC Rosé Oeil de Perdrix Le Rosel 6x  75cl","42.60","Schweiz, 2023","6x 75cl","0.95/10cl"
"1734709754-172","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Legaris Crianza Ribera del Duero DO","25.50","Spanien, 2021","75cl","3.40/10cl"
"1734709754-173","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Ripasso della Valpolicella DOC Superiore Vigne Alte Zeni","9.85","Italien, 2022","75cl","1.31/10cl"
"1734709754-174","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=15","Vino Nobile di Montepulciano DOCG Tenuta Trerose","16.95","Italien, 2020","75cl","2.26/10cl"
"1734709759-175","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Naturaplan Bio-Prosecco DOC Raphael Dal Bo, extra dry","11.95","Italien","75cl","1.59/10cl"
"1734709759-176","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Rimuss Party Traubensaft weiss, alkoholfrei","4.20","Rimuss","70cl","0.60/10cl"
"1734709759-177","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Zürich AOC Staatsschreiber Cuvée Blanc Prestige","12.70","Schweiz, 2023","75cl","1.69/10cl"
"1734709759-178","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Prosecco Superiore di Valdobbiadene Conegliano DOCG Carpené Malvolti, extra dry","10.95","Italien","75cl","1.46/10cl"
"1734709759-179","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Aigle Les Murailles Chablais AOC H. Badoux","22.50","Schweiz, 2023","70cl","3.21/10cl"
"1734709759-180","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Champagne AOC Charles Bertin, brut","19.50","Frankreich","75cl","2.60/10cl"
"1734709759-181","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Prosecco DOC Vigne dei Dogi, extra dry","6.95","Italien","75cl","0.93/10cl"
"1734709759-182","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Zürich AOC Federweisser Stauffacher","9.95","Schweiz, 2023","75cl","1.33/10cl"
"1734709759-183","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Blu Secco Dose Vino Frizzante 6x20cl","8.70","Italien","120cl","0.73/10cl"
"1734709759-184","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Toscana IGT Rosso Villa Antinori","12.95","Italien, 2022","75cl","1.73/10cl"
"1734709759-185","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Terre Siciliane IGT Nero d'Avola Bromeus","13.95","Italien, 2022","75cl","1.86/10cl"
"1734709759-186","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","La Côte AOC Grand Cru Perroy Cuvée 48 Cave de Jolimont 6x  70cl","41.70","Schweiz, 2023","6x 70cl","0.99/10cl"
"1734709759-187","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Lavaux AOC St-Saphorin La Donjannaz Les Terrasses de Lavaux","14.95","Schweiz, 2023","70cl","2.14/10cl"
"1734709759-188","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Alsace AOP Gewürztraminer Baron de Hoen Beblenheim","7.35","Frankreich, 2022","75cl","0.98/10cl"
"1734709759-189","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Valais AOC Dôle Blanche Les Bernadettes","9.30","Schweiz, 2023","75cl","1.24/10cl"
"1734709759-190","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Douro DOC Fabelhaft Niepoort","11.25","Portugal, 2021","75cl","1.50/10cl"
"1734709759-191","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Glühwein Heisser Hirsch Rot","4.50","Deutschland","75cl","0.60/10cl"
"1734709759-192","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Toscana IGT Bianco Villa Antinori","12.50","Italien, 2023","75cl","1.67/10cl"
"1734709759-193","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Naturaplan Bio-Crémant d'Alsace AOC Wolfberger, brut","10.95","Frankreich","75cl","1.46/10cl"
"1734709759-194","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Médoc AOC Château Laffitte Laujac","8.95","Frankreich, 2021","75cl","1.19/10cl"
"1734709759-195","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Valdo Prosecco di Valdobbiadene DOCG","9.95","Italien","75cl","1.33/10cl"
"1734709759-196","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Rimuss Champion Moscato, alkoholfrei","4.95","Rimuss","75cl","0.66/10cl"
"1734709759-197","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Freixenet Carta Medium Dry semi seco","6.95","Spanien","75cl","0.93/10cl"
"1734709759-198","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Champagne AOC Impérial Moët & Chandon, brut","38.50","Frankreich","75cl","5.13/10cl"
"1734709759-199","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Bourgogne AOC Chardonnay Louis Jadot","18.95","Frankreich, 2022","75cl","2.53/10cl"
"1734709759-200","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Valais AOC Rosé Oeil de Perdrix Le Rosel 6x  75cl","42.60","Schweiz, 2023","6x 75cl","0.95/10cl"
"1734709759-201","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Legaris Crianza Ribera del Duero DO","25.50","Spanien, 2021","75cl","3.40/10cl"
"1734709759-202","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Ripasso della Valpolicella DOC Superiore Vigne Alte Zeni","9.85","Italien, 2022","75cl","1.31/10cl"
"1734709759-203","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=14","Vino Nobile di Montepulciano DOCG Tenuta Trerose","16.95","Italien, 2020","75cl","2.26/10cl"
"1734709763-204","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Naturaplan Bio-Prosecco DOC Raphael Dal Bo, extra dry","11.95","Italien","75cl","1.59/10cl"
"1734709763-205","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Rimuss Party Traubensaft weiss, alkoholfrei","4.20","Rimuss","70cl","0.60/10cl"
"1734709763-206","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Zürich AOC Staatsschreiber Cuvée Blanc Prestige","12.70","Schweiz, 2023","75cl","1.69/10cl"
"1734709763-207","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Prosecco Superiore di Valdobbiadene Conegliano DOCG Carpené Malvolti, extra dry","10.95","Italien","75cl","1.46/10cl"
"1734709763-208","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Aigle Les Murailles Chablais AOC H. Badoux","22.50","Schweiz, 2023","70cl","3.21/10cl"
"1734709763-209","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Champagne AOC Charles Bertin, brut","19.50","Frankreich","75cl","2.60/10cl"
"1734709763-210","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Prosecco DOC Vigne dei Dogi, extra dry","6.95","Italien","75cl","0.93/10cl"
"1734709763-211","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Zürich AOC Federweisser Stauffacher","9.95","Schweiz, 2023","75cl","1.33/10cl"
"1734709763-212","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Blu Secco Dose Vino Frizzante 6x20cl","8.70","Italien","120cl","0.73/10cl"
"1734709763-213","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Toscana IGT Rosso Villa Antinori","12.95","Italien, 2022","75cl","1.73/10cl"
"1734709763-214","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Terre Siciliane IGT Nero d'Avola Bromeus","13.95","Italien, 2022","75cl","1.86/10cl"
"1734709763-215","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","La Côte AOC Grand Cru Perroy Cuvée 48 Cave de Jolimont 6x  70cl","41.70","Schweiz, 2023","6x 70cl","0.99/10cl"
"1734709763-216","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Lavaux AOC St-Saphorin La Donjannaz Les Terrasses de Lavaux","14.95","Schweiz, 2023","70cl","2.14/10cl"
"1734709763-217","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Alsace AOP Gewürztraminer Baron de Hoen Beblenheim","7.35","Frankreich, 2022","75cl","0.98/10cl"
"1734709763-218","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Valais AOC Dôle Blanche Les Bernadettes","9.30","Schweiz, 2023","75cl","1.24/10cl"
"1734709763-219","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Douro DOC Fabelhaft Niepoort","11.25","Portugal, 2021","75cl","1.50/10cl"
"1734709763-220","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Glühwein Heisser Hirsch Rot","4.50","Deutschland","75cl","0.60/10cl"
"1734709763-221","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Toscana IGT Bianco Villa Antinori","12.50","Italien, 2023","75cl","1.67/10cl"
"1734709763-222","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Naturaplan Bio-Crémant d'Alsace AOC Wolfberger, brut","10.95","Frankreich","75cl","1.46/10cl"
"1734709763-223","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Médoc AOC Château Laffitte Laujac","8.95","Frankreich, 2021","75cl","1.19/10cl"
"1734709763-224","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Valdo Prosecco di Valdobbiadene DOCG","9.95","Italien","75cl","1.33/10cl"
"1734709763-225","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Rimuss Champion Moscato, alkoholfrei","4.95","Rimuss","75cl","0.66/10cl"
"1734709763-226","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Freixenet Carta Medium Dry semi seco","6.95","Spanien","75cl","0.93/10cl"
"1734709763-227","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Champagne AOC Impérial Moët & Chandon, brut","38.50","Frankreich","75cl","5.13/10cl"
"1734709763-228","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Bourgogne AOC Chardonnay Louis Jadot","18.95","Frankreich, 2022","75cl","2.53/10cl"
"1734709763-229","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Valais AOC Rosé Oeil de Perdrix Le Rosel 6x  75cl","42.60","Schweiz, 2023","6x 75cl","0.95/10cl"
"1734709763-230","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Legaris Crianza Ribera del Duero DO","25.50","Spanien, 2021","75cl","3.40/10cl"
"1734709763-231","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Ripasso della Valpolicella DOC Superiore Vigne Alte Zeni","9.85","Italien, 2022","75cl","1.31/10cl"
"1734709763-232","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=13","Vino Nobile di Montepulciano DOCG Tenuta Trerose","16.95","Italien, 2020","75cl","2.26/10cl"
"1734709768-233","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Naturaplan Bio-Prosecco DOC Raphael Dal Bo, extra dry","11.95","Italien","75cl","1.59/10cl"
"1734709768-234","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Rimuss Party Traubensaft weiss, alkoholfrei","4.20","Rimuss","70cl","0.60/10cl"
"1734709768-235","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Zürich AOC Staatsschreiber Cuvée Blanc Prestige","12.70","Schweiz, 2023","75cl","1.69/10cl"
"1734709768-236","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Prosecco Superiore di Valdobbiadene Conegliano DOCG Carpené Malvolti, extra dry","10.95","Italien","75cl","1.46/10cl"
"1734709768-237","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Aigle Les Murailles Chablais AOC H. Badoux","22.50","Schweiz, 2023","70cl","3.21/10cl"
"1734709768-238","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Champagne AOC Charles Bertin, brut","19.50","Frankreich","75cl","2.60/10cl"
"1734709768-239","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Prosecco DOC Vigne dei Dogi, extra dry","6.95","Italien","75cl","0.93/10cl"
"1734709768-240","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Zürich AOC Federweisser Stauffacher","9.95","Schweiz, 2023","75cl","1.33/10cl"
"1734709768-241","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Blu Secco Dose Vino Frizzante 6x20cl","8.70","Italien","120cl","0.73/10cl"
"1734709768-242","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Toscana IGT Rosso Villa Antinori","12.95","Italien, 2022","75cl","1.73/10cl"
"1734709768-243","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Terre Siciliane IGT Nero d'Avola Bromeus","13.95","Italien, 2022","75cl","1.86/10cl"
"1734709768-244","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","La Côte AOC Grand Cru Perroy Cuvée 48 Cave de Jolimont 6x  70cl","41.70","Schweiz, 2023","6x 70cl","0.99/10cl"
"1734709768-245","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Lavaux AOC St-Saphorin La Donjannaz Les Terrasses de Lavaux","14.95","Schweiz, 2023","70cl","2.14/10cl"
"1734709768-246","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Alsace AOP Gewürztraminer Baron de Hoen Beblenheim","7.35","Frankreich, 2022","75cl","0.98/10cl"
"1734709768-247","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Valais AOC Dôle Blanche Les Bernadettes","9.30","Schweiz, 2023","75cl","1.24/10cl"
"1734709768-248","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Douro DOC Fabelhaft Niepoort","11.25","Portugal, 2021","75cl","1.50/10cl"
"1734709768-249","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Glühwein Heisser Hirsch Rot","4.50","Deutschland","75cl","0.60/10cl"
"1734709768-250","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Toscana IGT Bianco Villa Antinori","12.50","Italien, 2023","75cl","1.67/10cl"
"1734709768-251","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Naturaplan Bio-Crémant d'Alsace AOC Wolfberger, brut","10.95","Frankreich","75cl","1.46/10cl"
"1734709768-252","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Médoc AOC Château Laffitte Laujac","8.95","Frankreich, 2021","75cl","1.19/10cl"
"1734709768-253","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Valdo Prosecco di Valdobbiadene DOCG","9.95","Italien","75cl","1.33/10cl"
"1734709768-254","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Rimuss Champion Moscato, alkoholfrei","4.95","Rimuss","75cl","0.66/10cl"
"1734709768-255","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Freixenet Carta Medium Dry semi seco","6.95","Spanien","75cl","0.93/10cl"
"1734709768-256","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Champagne AOC Impérial Moët & Chandon, brut","38.50","Frankreich","75cl","5.13/10cl"
"1734709768-257","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Bourgogne AOC Chardonnay Louis Jadot","18.95","Frankreich, 2022","75cl","2.53/10cl"
"1734709768-258","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Valais AOC Rosé Oeil de Perdrix Le Rosel 6x  75cl","42.60","Schweiz, 2023","6x 75cl","0.95/10cl"
"1734709768-259","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Legaris Crianza Ribera del Duero DO","25.50","Spanien, 2021","75cl","3.40/10cl"
"1734709768-260","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Ripasso della Valpolicella DOC Superiore Vigne Alte Zeni","9.85","Italien, 2022","75cl","1.31/10cl"
"1734709768-261","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=12","Vino Nobile di Montepulciano DOCG Tenuta Trerose","16.95","Italien, 2020","75cl","2.26/10cl"
"1734709772-262","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Naturaplan Bio-Prosecco DOC Raphael Dal Bo, extra dry","11.95","Italien","75cl","1.59/10cl"
"1734709772-263","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Rimuss Party Traubensaft weiss, alkoholfrei","4.20","Rimuss","70cl","0.60/10cl"
"1734709772-264","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Zürich AOC Staatsschreiber Cuvée Blanc Prestige","12.70","Schweiz, 2023","75cl","1.69/10cl"
"1734709772-265","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Prosecco Superiore di Valdobbiadene Conegliano DOCG Carpené Malvolti, extra dry","10.95","Italien","75cl","1.46/10cl"
"1734709772-266","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Aigle Les Murailles Chablais AOC H. Badoux","22.50","Schweiz, 2023","70cl","3.21/10cl"
"1734709772-267","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Champagne AOC Charles Bertin, brut","19.50","Frankreich","75cl","2.60/10cl"
"1734709772-268","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Prosecco DOC Vigne dei Dogi, extra dry","6.95","Italien","75cl","0.93/10cl"
"1734709772-269","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Zürich AOC Federweisser Stauffacher","9.95","Schweiz, 2023","75cl","1.33/10cl"
"1734709772-270","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Blu Secco Dose Vino Frizzante 6x20cl","8.70","Italien","120cl","0.73/10cl"
"1734709772-271","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Toscana IGT Rosso Villa Antinori","12.95","Italien, 2022","75cl","1.73/10cl"
"1734709772-272","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Terre Siciliane IGT Nero d'Avola Bromeus","13.95","Italien, 2022","75cl","1.86/10cl"
"1734709772-273","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","La Côte AOC Grand Cru Perroy Cuvée 48 Cave de Jolimont 6x  70cl","41.70","Schweiz, 2023","6x 70cl","0.99/10cl"
"1734709772-274","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Lavaux AOC St-Saphorin La Donjannaz Les Terrasses de Lavaux","14.95","Schweiz, 2023","70cl","2.14/10cl"
"1734709772-275","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Alsace AOP Gewürztraminer Baron de Hoen Beblenheim","7.35","Frankreich, 2022","75cl","0.98/10cl"
"1734709772-276","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Valais AOC Dôle Blanche Les Bernadettes","9.30","Schweiz, 2023","75cl","1.24/10cl"
"1734709772-277","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Douro DOC Fabelhaft Niepoort","11.25","Portugal, 2021","75cl","1.50/10cl"
"1734709772-278","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Glühwein Heisser Hirsch Rot","4.50","Deutschland","75cl","0.60/10cl"
"1734709772-279","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Toscana IGT Bianco Villa Antinori","12.50","Italien, 2023","75cl","1.67/10cl"
"1734709772-280","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Naturaplan Bio-Crémant d'Alsace AOC Wolfberger, brut","10.95","Frankreich","75cl","1.46/10cl"
"1734709772-281","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Médoc AOC Château Laffitte Laujac","8.95","Frankreich, 2021","75cl","1.19/10cl"
"1734709772-282","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Valdo Prosecco di Valdobbiadene DOCG","9.95","Italien","75cl","1.33/10cl"
"1734709772-283","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Rimuss Champion Moscato, alkoholfrei","4.95","Rimuss","75cl","0.66/10cl"
"1734709772-284","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Freixenet Carta Medium Dry semi seco","6.95","Spanien","75cl","0.93/10cl"
"1734709772-285","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Champagne AOC Impérial Moët & Chandon, brut","38.50","Frankreich","75cl","5.13/10cl"
"1734709772-286","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Bourgogne AOC Chardonnay Louis Jadot","18.95","Frankreich, 2022","75cl","2.53/10cl"
"1734709772-287","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Valais AOC Rosé Oeil de Perdrix Le Rosel 6x  75cl","42.60","Schweiz, 2023","6x 75cl","0.95/10cl"
"1734709772-288","https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=11","Legaris Crianza Ribera del Duero DO","25.50","Spanien, 2021","75cl","3.40/10cl"
